raceId,raceYear,driverId,constructorId,driverFirstName,driverLastName
337,2010,4,6,Fernando,Alonso
337,2010,13,6,Felipe,Massa
337,2010,1,1,Lewis,Hamilton
337,2010,20,9,Sebastian,Vettel
337,2010,3,131,Nico,Rosberg
337,2010,30,131,Michael,Schumacher
337,2010,18,1,Jenson,Button
337,2010,17,9,Mark,Webber
337,2010,24,10,Vitantonio,Liuzzi
337,2010,22,3,Rubens,Barrichello
337,2010,9,4,Robert,Kubica
337,2010,16,10,Adrian,Sutil
337,2010,153,5,Jaime,Alguersuari
337,2010,807,3,Nico,HÃ¼lkenberg
337,2010,5,205,Heikki,Kovalainen
337,2010,67,5,SÃ©bastien,Buemi
337,2010,15,205,Jarno,Trulli
337,2010,37,15,Pedro,de la Rosa
337,2010,811,164,Bruno,Senna
337,2010,10,166,Timo,Glock
337,2010,808,4,Vitaly,Petrov
337,2010,155,15,Kamui,Kobayashi
337,2010,810,166,Lucas,di Grassi
337,2010,812,164,Karun,Chandhok
338,2010,18,1,Jenson,Button
338,2010,9,4,Robert,Kubica
338,2010,13,6,Felipe,Massa
338,2010,4,6,Fernando,Alonso
338,2010,3,131,Nico,Rosberg
338,2010,1,1,Lewis,Hamilton
338,2010,24,10,Vitantonio,Liuzzi
338,2010,22,3,Rubens,Barrichello
338,2010,17,9,Mark,Webber
338,2010,30,131,Michael,Schumacher
338,2010,153,5,Jaime,Alguersuari
338,2010,37,15,Pedro,de la Rosa
338,2010,5,205,Heikki,Kovalainen
338,2010,812,164,Karun,Chandhok
338,2010,10,166,Timo,Glock
338,2010,810,166,Lucas,di Grassi
338,2010,20,9,Sebastian,Vettel
338,2010,16,10,Adrian,Sutil
338,2010,808,4,Vitaly,Petrov
338,2010,811,164,Bruno,Senna
338,2010,67,5,SÃ©bastien,Buemi
338,2010,807,3,Nico,HÃ¼lkenberg
338,2010,155,15,Kamui,Kobayashi
338,2010,15,205,Jarno,Trulli
339,2010,20,9,Sebastian,Vettel
339,2010,17,9,Mark,Webber
339,2010,3,131,Nico,Rosberg
339,2010,9,4,Robert,Kubica
339,2010,16,10,Adrian,Sutil
339,2010,1,1,Lewis,Hamilton
339,2010,13,6,Felipe,Massa
339,2010,18,1,Jenson,Button
339,2010,153,5,Jaime,Alguersuari
339,2010,807,3,Nico,HÃ¼lkenberg
339,2010,67,5,SÃ©bastien,Buemi
339,2010,22,3,Rubens,Barrichello
339,2010,4,6,Fernando,Alonso
339,2010,810,166,Lucas,di Grassi
339,2010,812,164,Karun,Chandhok
339,2010,811,164,Bruno,Senna
339,2010,15,205,Jarno,Trulli
339,2010,5,205,Heikki,Kovalainen
339,2010,808,4,Vitaly,Petrov
339,2010,24,10,Vitantonio,Liuzzi
339,2010,30,131,Michael,Schumacher
339,2010,155,15,Kamui,Kobayashi
339,2010,10,166,Timo,Glock
339,2010,37,15,Pedro,de la Rosa
340,2010,18,1,Jenson,Button
340,2010,1,1,Lewis,Hamilton
340,2010,3,131,Nico,Rosberg
