YEAR,TEAM,GP,W,L,W_%,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
2022,Phoenix Suns,82,64,18,78%,3946,114.2,106.8,7.5,62.7,2.12,19.5,26.4,72.8,50.3,12.9,54.9,58.1,100.26,54.8,"8,242"
2022,Memphis Grizzlies,82,56,26,68%,3956,114.3,108.9,5.3,59.7,1.97,17.9,33.8,72.6,52.6,13,52.2,55.3,100.52,53,"8,295"
2022,Golden State Warriors,82,53,29,65%,3946,112.1,106.6,5.5,66.9,1.82,19.5,26.9,73.6,51,15,55.2,58.2,98.74,53.6,"8,121"
2022,Miami Heat,82,53,29,65%,3971,113,108.4,4.5,64.4,1.75,18.8,27.8,73.5,51,14.9,54.7,58.4,96.53,52.9,"7,987"
2022,Dallas Mavericks,82,52,30,63%,3951,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13,53.8,57.2,95.64,51.1,"7,871"
2022,Boston Celtics,82,51,31,62%,3981,113.6,106.2,7.4,60.9,1.82,18.2,27.7,72.5,50.9,13.9,54.2,57.8,97.26,54.7,"8,068"
2022,Milwaukee Bucks,82,51,31,62%,3951,114.3,111.1,3.2,57.2,1.78,17.3,26.9,74.7,51.2,13.3,54.6,58,100.59,51.6,"8,284"
2022,Philadelphia 76ers,82,51,31,62%,3961,113,110.2,2.8,60.2,1.89,17.9,24.6,72.4,49,12.9,53.4,57.8,96.71,51.7,"7,975"
2022,Utah Jazz,82,49,33,60%,3946,116.2,110,6.2,55.2,1.6,16.7,30,73.8,52.5,14.3,55.5,58.9,97.5,52.8,"8,014"
2022,Denver Nuggets,82,48,34,59%,3961,113.8,111.5,2.3,66.7,1.92,20,26.8,75.2,51.5,14.6,55.6,59,98.41,51.6,"8,123"
2022,Toronto Raptors,82,48,34,59%,3971,112.1,109.9,2.2,54.3,1.77,16.1,32.5,71.4,50.8,12.8,51,54.3,96.63,49.4,"8,000"
2022,Chicago Bulls,82,46,36,56%,3946,112.7,113.2,-0.5,57.2,1.86,17.8,24.9,73.5,49.5,13,54.1,57.9,98.76,49.6,"8,124"
2022,Minnesota Timberwolves,82,46,36,56%,3956,113.8,111,2.7,61.7,1.79,18.1,28.4,70.6,49,14.1,53.9,57.3,101.47,50.4,"8,357"
2022,Brooklyn Nets,82,44,38,54%,3951,113.2,112.3,0.9,60.2,1.8,18.3,28.1,70.4,49.9,14.1,54,57.6,99.4,51.2,"8,177"
2022,Cleveland Cavaliers,82,44,38,54%,3946,111,108.9,2.1,63.4,1.75,18.7,27.7,72.4,50.6,14.8,53.8,57.1,96.83,51.7,"7,964"
2022,Atlanta Hawks,82,43,39,52%,3941,115.4,113.7,1.6,59.3,2.08,18.1,26.9,73.1,50.1,12,54.3,58.1,98.67,50.9,"8,099"
