gameId,playId,specialTeamsPlayType,specialTeamsResult,kickLength,kickReturnYardage,snapDetail,snapTime,operationTime,hangTime,kickType,kickDirectionIntended,kickDirectionActual
2018090600,366,Punt,Return,56,5,OK,0.84,2.12,4.46,N,C,C
2018090600,658,Field Goal,Kick Attempt Good,21,NA,NA,NA,NA,NA,NA,NA,NA
2018090600,872,Punt,Touchback,65,NA,OK,0.84,2,4.35,N,C,L
2018090600,973,Punt,Fair Catch,49,NA,OK,0.86,2.19,4.98,N,L,L
2018090600,1368,Field Goal,Kick Attempt Good,26,NA,NA,NA,NA,NA,NA,NA,NA
2018090600,1587,Field Goal,Kick Attempt Good,52,NA,NA,NA,NA,NA,NA,NA,NA
2018090600,1850,Punt,Downed,58,NA,OK,0.81,2,4.53,N,R,R
2018090600,1989,Punt,Return,57,8,OK,0.76,2.12,4.62,N,C,C
2018090600,2406,Punt,Fair Catch,38,NA,OK,0.83,2.04,4.69,N,C,C
2018090600,2599,Punt,Return,46,9,OK,0.86,2.35,4.16,N,L,L
2018090600,2883,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090600,3026,Punt,Downed,44,NA,OK,0.71,2.1,4.66,N,L,L
2018090600,3225,Punt,Muffed,38,NA,<,0.66,2.12,4.08,N,L,L
2018090600,3553,Extra Point,Kick Attempt No Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090600,3736,Punt,Out of Bounds,46,NA,OK,0.69,2.03,4.2,N,C,L
2018090600,3868,Punt,Return,52,12,OK,0.65,2.09,4.4,N,C,C
2018090900,380,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,485,Punt,Return,46,-1,OK,0.8,2.11,4.34,N,C,R
2018090900,575,Punt,Return,63,4,OK,0.8,2.15,4.2,A,L,L
2018090900,674,Punt,Return,51,3,OK,0.8,2.03,4.78,N,C,C
2018090900,972,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,1136,Punt,Return,49,51,OK,0.82,2.05,3.62,N,C,C
2018090900,1226,Field Goal,Kick Attempt Good,41,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,1360,Punt,Return,50,1,H,0.86,2.16,4.52,N,C,C
2018090900,1613,Field Goal,Kick Attempt No Good,52,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,1772,Punt,Downed,44,NA,OK,0.82,2.25,3.9,N,C,C
